iter	Passed	Remaining
0	31	30991
1	61	30561
2	94	31334
3	129	32317
4	170	33842
5	211	35115
6	238	33844
7	271	33621
8	305	33677
9	339	33645
10	379	34127
11	424	34973
12	464	35283
13	512	36061
14	550	36140
15	586	36043
16	615	35564
17	657	35882
18	690	35650
19	734	35995
20	766	35753
21	797	35435
22	864	36736
23	928	37753
24	993	38750
25	1051	39399
26	1118	40310
27	1182	41040
28	1267	42434
29	1357	43893
30	1451	45377
31	1518	45930
32	1595	46756
33	1684	47864
34	1743	48076
35	1789	47931
36	1829	47609
37	1862	47147
38	1905	46947
39	1952	46870
40	2000	46781
41	2048	46717
42	2086	46441
43	2124	46149
44	2162	45884
45	2207	45774
46	2228	45176
47	2259	44810
48	2297	44584
49	2322	44124
50	2349	43712
51	2382	43429
52	2414	43145
53	2455	43022
54	2499	42954
55	2543	42869
56	2587	42803
57	2617	42510
58	2655	42348
59	2686	42083
60	2719	41858
61	2760	41767
62	2794	41562
63	2833	41439
64	2878	41400
65	2915	41260
66	2958	41202
67	2997	41082
68	3027	40853
69	3067	40750
70	3097	40535
71	3124	40267
72	3165	40195
73	3199	40041
74	3233	39879
75	3279	39871
76	3320	39800
77	3358	39695
78	3394	39573
79	3424	39383
80	3465	39324
81	3503	39226
82	3535	39060
83	3571	38951
84	3608	38846
85	3637	38661
86	3673	38550
87	3709	38441
88	3750	38394
89	3788	38307
90	3834	38301
91	3875	38249
92	3899	38033
93	3933	37911
94	3967	37795
95	4008	37743
96	4049	37699
97	4090	37647
98	4129	37584
99	4173	37557
100	4211	37489
101	4240	37336
102	4281	37285
103	4319	37209
104	4349	37071
105	4395	37073
106	4434	37009
107	4473	36944
108	4520	36948
109	4550	36813
110	4582	36699
111	4613	36581
112	4643	36452
113	4676	36347
114	4701	36183
115	4732	36064
116	4762	35945
117	4789	35799
118	4826	35733
119	4857	35623
120	4882	35470
121	4926	35451
122	4962	35380
123	5010	35398
124	5049	35348
125	5085	35275
126	5115	35165
127	5159	35146
128	5201	35120
129	5234	35033
130	5269	34957
131	5318	34972
132	5362	34954
133	5405	34936
134	5455	34955
135	5504	34970
136	5544	34925
137	5574	34820
138	5607	34734
139	5645	34678
140	5689	34658
141	5735	34653
142	5769	34576
143	5806	34515
144	5836	34413
145	5878	34384
146	5928	34403
147	5956	34290
148	5997	34252
149	6042	34243
150	6096	34278
151	6150	34313
152	6179	34209
153	6220	34173
154	6262	34138
155	6303	34101
156	6338	34036
157	6376	33980
158	6411	33914
159	6441	33815
160	6473	33733
161	6515	33703
162	6554	33659
163	6592	33606
164	6625	33529
165	6656	33444
166	6689	33366
167	6725	33305
168	6759	33239
169	6790	33153
170	6833	33127
171	6861	33030
172	6886	32918
173	6921	32856
174	6956	32796
175	6990	32729
176	7026	32669
177	7053	32571
178	7097	32554
179	7135	32507
180	7182	32499
181	7208	32399
182	7252	32376
183	7284	32304
184	7315	32229
185	7350	32166
186	7383	32100
187	7408	31998
188	7436	31908
189	7464	31820
190	7499	31766
191	7536	31714
192	7567	31643
193	7598	31567
194	7627	31488
195	7659	31420
196	7684	31322
197	7713	31242
198	7746	31179
199	7781	31125
200	7816	31070
201	7846	30996
202	7881	30943
203	7914	30883
204	7950	30830
205	7986	30782
206	8023	30739
207	8054	30667
208	8082	30590
209	8113	30522
210	8145	30456
211	8185	30425
212	8215	30355
213	8251	30308
214	8293	30279
215	8321	30203
216	8348	30124
217	8389	30093
218	8416	30013
219	8450	29962
220	8484	29906
221	8516	29845
222	8549	29788
223	8582	29732
224	8609	29653
225	8641	29595
226	8674	29539
227	8704	29473
228	8742	29434
229	8780	29393
230	8806	29316
231	8834	29244
232	8864	29179
233	8901	29139
234	8937	29094
235	8964	29020
236	8998	28969
237	9035	28927
238	9067	28871
239	9098	28812
240	9134	28768
241	9160	28692
242	9183	28608
243	9218	28561
244	9247	28496
245	9273	28422
246	9301	28356
247	9331	28294
248	9368	28256
249	9403	28209
250	9434	28154
251	9460	28081
252	9491	28023
253	9524	27973
254	9556	27919
255	9587	27862
256	9616	27802
257	9643	27734
258	9667	27659
259	9706	27625
260	9732	27557
261	9760	27494
262	9794	27445
263	9820	27377
264	9853	27328
265	9889	27290
266	9924	27244
267	9950	27178
268	9983	27128
269	10015	27080
270	10050	27036
271	10082	26985
272	10111	26926
273	10143	26875
274	10171	26815
275	10201	26760
276	10227	26694
277	10257	26641
278	10290	26593
279	10320	26537
280	10344	26467
281	10376	26419
282	10408	26371
283	10439	26318
284	10469	26265
285	10505	26228
286	10536	26175
287	10565	26119
288	10596	26070
289	10629	26024
290	10660	25973
291	10693	25928
292	10720	25869
293	10756	25829
294	10780	25762
295	10808	25707
296	10837	25652
297	10861	25585
298	10889	25531
299	10922	25485
300	10953	25437
301	10985	25390
302	11015	25339
303	11048	25294
304	11075	25238
305	11105	25186
306	11134	25135
307	11165	25085
308	11195	25035
309	11220	24975
310	11253	24932
311	11286	24887
312	11321	24848
313	11353	24803
314	11378	24742
315	11405	24687
316	11437	24641
317	11465	24590
318	11498	24547
319	11522	24484
320	11555	24442
321	11585	24393
322	11618	24352
323	11645	24296
324	11675	24249
325	11704	24199
326	11733	24149
327	11768	24110
328	11805	24078
329	11839	24037
330	11875	24003
331	11909	23961
332	11943	23922
333	11969	23867
334	11991	23804
335	12025	23763
336	12053	23713
337	12083	23666
338	12110	23614
339	12141	23567
340	12171	23522
341	12199	23470
342	12221	23409
343	12248	23357
344	12275	23306
345	12302	23254
346	12339	23221
347	12381	23196
348	12416	23159
349	12443	23109
350	12476	23068
351	12502	23015
352	12527	22960
353	12553	22909
354	12584	22863
355	12610	22812
356	12644	22774
357	12674	22728
358	12701	22678
359	12728	22628
360	12754	22576
361	12781	22526
362	12807	22474
363	12841	22437
364	12871	22392
365	12903	22351
366	12927	22296
367	12957	22252
368	12991	22215
369	13025	22177
370	13062	22146
371	13096	22109
372	13126	22064
373	13157	22023
374	13191	21986
375	13229	21955
376	13258	21909
377	13282	21856
378	13317	21820
379	13348	21778
380	13373	21728
381	13406	21689
382	13439	21650
383	13470	21608
384	13491	21551
385	13518	21503
386	13544	21454
387	13577	21415
388	13608	21374
389	13638	21331
390	13672	21296
391	13707	21260
392	13741	21224
393	13771	21182
394	13798	21134
395	13830	21095
396	13860	21052
397	13885	21003
398	13919	20966
399	13945	20918
400	13978	20880
401	14008	20838
402	14042	20801
403	14072	20760
404	14107	20725
405	14141	20689
406	14168	20644
407	14202	20608
408	14235	20570
409	14264	20526
410	14301	20495
411	14332	20455
412	14363	20414
413	14394	20374
414	14426	20336
415	14455	20292
416	14484	20251
417	14512	20206
418	14545	20169
419	14575	20128
420	14605	20087
421	14636	20046
422	14663	20001
423	14690	19956
424	14720	19916
425	14745	19868
426	14771	19822
427	14800	19780
428	14827	19736
429	14857	19694
430	14886	19653
431	14915	19611
432	14946	19572
433	14977	19533
434	15012	19499
435	15040	19455
436	15079	19426
437	15108	19385
438	15134	19340
439	15162	19297
440	15187	19250
441	15218	19212
442	15246	19170
443	15279	19134
444	15318	19104
445	15354	19072
446	15391	19041
447	15433	19016
448	15470	18985
449	15505	18951
450	15545	18922
451	15572	18879
452	15598	18835
453	15631	18799
454	15662	18760
455	15694	18723
456	15727	18687
457	15761	18652
458	15795	18617
459	15820	18572
460	15853	18536
461	15879	18491
462	15907	18449
